REF,ROD,HORA,JOGO,ESTÁDIO,CIDADE,UF,DATA,DIA,TimeMandante,UF_M,Gols_M,Gols_V,TimeVisitante,UF_V,GolMandante,GolVisitante,ROD_NUM
360,36ª,19:30,Criciúma                       SC  2  x  4  Corinthians                   SP,Heriberto Hulse,Criciúma,SC,26/11,ter,Criciúma,SC,2,4,Corinthians,SP,Criciúma SC - 2,Corinthians SP - 4,36
355,36ª,21:30,Vasco da Gama           RJ  2  x  2  Atlético                         GO,São Januário,Rio de Janeiro,RJ,26/11,ter,Vasco da Gama,RJ,2,2,Atlético,GO,Vasco da Gama RJ - 2,Atlético GO - 2,36
351,36ª,16:00,Grêmio                          RS  2  x  1  São Paulo                    SP,Arena do Grêmio,Porto Alegre,RS,01/12,dom,Grêmio,RS,2,1,São Paulo,SP,Grêmio RS - 2,São Paulo SP - 1,36
354,36ª,16:00,Flamengo                     RJ  3  x  2  Internacional                RS,Maracanã,Rio de Janeiro,RJ,01/12,dom,Flamengo,RJ,3,2,Internacional,RS,Flamengo RJ - 3,Internacional RS - 2,36
353,36ª,18:30,Vitória                           BA  2  x  0  Fortaleza                      CE,Manoel Barradas,Salvador,BA,01/12,dom,Vitória,BA,2,0,Fortaleza,CE,Vitória BA - 2,Fortaleza CE - 0,36
357,36ª,18:30,Red Bull Bragantino     SP  1  x  1  Cruzeiro                       MG,Nabi Abi Chedid,Bragança Paulista,SP,01/12,dom,Red Bull Bragantino,SP,1,1,Cruzeiro,MG,Red Bull Bragantino SP - 1,Cruzeiro MG - 1,36
358,36ª,18:30,Athletico                       PR  1  x  1  Fluminense                  RJ,Ligga Arena,Curitiba,PR,01/12,dom,Athletico,PR,1,1,Fluminense,RJ,Athletico PR - 1,Fluminense RJ - 1,36
366,37ª,20:00,Corinthians                   SP  3  x  0  Bahia                            BA,Neo Química Arena,São Paulo,SP,03/12,ter,Corinthians,SP,3,0,Bahia,BA,Corinthians SP - 3,Bahia BA - 0,37
365,37ª,19:00,Vasco da Gama           RJ  2  x  0  Atlético                         MG,São Januário,Rio de Janeiro,RJ,04/12,qua,Vasco da Gama,RJ,2,0,Atlético,MG,Vasco da Gama RJ - 2,Atlético MG - 0,37
363,37ª,20:00,Vitória                           BA  1  x  1  Grêmio                         RS,Manoel Barradas,Salvador,BA,04/12,qua,Vitória,BA,1,1,Grêmio,RS,Vitória BA - 1,Grêmio RS - 1,37
367,37ª,20:00,São Paulo                     SP  1  x  2  Juventude                    RS,Morumbis,São Paulo,SP,04/12,qua,São Paulo,SP,1,2,Juventude,RS,São Paulo SP - 1,Juventude RS - 2,37
370,37ª,20:00,Criciúma                       SC  0  x  3  Flamengo                     RJ,Heriberto Hulse,Criciúma,SC,04/12,qua,Criciúma,SC,0,3,Flamengo,RJ,Criciúma SC - 0,Flamengo RJ - 3,37
361,37ª,21:30,Internacional                 RS  0  x  1  Botafogo                      RJ,Beira-Rio,Porto Alegre,RS,04/12,qua,Internacional,RS,0,1,Botafogo,RJ,Internacional RS - 0,Botafogo RJ - 1,37
362,37ª,21:30,Cruzeiro                        MG 1  x  2  Palmeiras                     SP,Mineirão,Belo Horizonte,MG,04/12,qua,Cruzeiro,MG,1,2,Palmeiras,SP,Cruzeiro MG - 1,Palmeiras SP - 2,37
369,37ª,21:30,Atlético                          GO 3  x  1  Fortaleza                      CE,Antônio Accioly,Goiânia,GO,04/12,qua,Atlético,GO,3,1,Fortaleza,CE,Atlético GO - 3,Fortaleza CE - 1,37
364,37ª,20:00,Fluminense                   RJ  1  x  0  Cuiabá                          MT,Maracanã,Rio de Janeiro,RJ,05/12,qui,Fluminense,RJ,1,0,Cuiabá,MT,Fluminense RJ - 1,Cuiabá MT - 0,37
368,37ª,20:00,Athletico                       PR  1  x  2  Red Bull Bragantino    SP,Ligga Arena,Curitiba,PR,05/12,qui,Athletico,PR,1,2,Red Bull Bragantino,SP,Athletico PR - 1,Red Bull Bragantino SP - 2,37
371,38ª,16:00,Grêmio                          RS   0  x   3   Corinthians                   SP,Arena do Grêmio,Porto Alegre,RS,08/12,dom,Grêmio,RS,0,3,Corinthians,SP,Grêmio RS - 0,Corinthians SP - 3,38
372,38ª,16:00,Atlético                          MG   1  x   0   Athletico                       PR,Arena MRV,Belo Horizonte,MG,08/12,dom,Atlético,MG,1,0,Athletico,PR,Atlético MG - 1,Athletico PR - 0,38
373,38ª,16:00,Bahia                            BA   2   x   0   Atlético                         GO,Arena Fonte Nova,Salvador,BA,08/12,dom,Bahia,BA,2,0,Atlético,GO,Bahia BA - 2,Atlético GO - 0,38
374,38ª,16:00,Flamengo                     RJ   2    x  2    Vitória                           BA,Maracanã,Rio de Janeiro,RJ,08/12,dom,Flamengo,RJ,2,2,Vitória,BA,Flamengo RJ - 2,Vitória BA - 2,38
375,38ª,16:00,Botafogo                       RJ  2     x  1    São Paulo                    SP,Nilton Santos,Rio de Janeiro,RJ,08/12,dom,Botafogo,RJ,2,1,São Paulo,SP,Botafogo RJ - 2,São Paulo SP - 1,38
376,38ª,16:00,Palmeiras                     SP    0  x   1   Fluminense                  RJ,Allianz Parque,São Paulo,SP,08/12,dom,Palmeiras,SP,0,1,Fluminense,RJ,Palmeiras SP - 0,Fluminense RJ - 1,38
377,38ª,16:00,Red Bull Bragantino     SP    5  x   1   Criciúma                       SC,Nabi Abi Chedid,Bragança Paulista,SP,08/12,dom,Red Bull Bragantino,SP,5,1,Criciúma,SC,Red Bull Bragantino SP - 5,Criciúma SC - 1,38
378,38ª,16:00,Fortaleza                      CE   3   x   0   Internacional                RS,Arena Castelão,Fortaleza,CE,08/12,dom,Fortaleza,CE,3,0,Internacional,RS,Fortaleza CE - 3,Internacional RS - 0,38
379,38ª,16:00,Cuiabá                          MT    1  x   2   Vasco da Gama           RJ,Arena Pantanal,Cuiabá,MT,08/12,dom,Cuiabá,MT,1,2,Vasco da Gama,RJ,Cuiabá MT - 1,Vasco da Gama RJ - 2,38
380,38ª,16:00,Juventude                     RS    0  x    1  Cruzeiro                       MG,Alfredo Jaconi,Caxias do Sul,RS,08/12,dom,Juventude,RS,0,1,Cruzeiro,MG,Juventude RS - 0,Cruzeiro MG - 1,38
